Function,Mean_Healthy,Mean_Degraded,Log2FC_Degraded_vs_Healthy,Log2FC_CI_low,Log2FC_CI_high,Cohens_d_Degraded_vs_Healthy,MWU_p,TotalMean,FDR
denitrification,0.002217617248385003,0.0017302324662849908,-0.3580443155724682,-1.7775469168766067,0.8194602330738457,-0.3905133431270231,0.34285714285714286,0.003947849714669994,0.6971428571428572
dimethylsulfoniopropionate_demethylation,0.0008736629754716879,0.00031962883277815066,-1.450676434758487,-3.131959712638814,-0.41615977695711354,-1.3727797518123512,0.05714285714285714,0.0011932918082498386,0.6777777777777778
exopolysaccharide_substances_marine_snow_production,0.017388959138042857,0.018855318632183045,0.11679994512580326,-0.3742705632306421,0.644669990239532,0.24087326064830222,0.34285714285714286,0.0362442777702259,0.6971428571428572
facultative,0.00014560279557367502,0.0010719876417873255,2.8801697508037343,-17.151688438379644,21.031857516277285,0.7302081159919003,0.4083519693259383,0.0012175904373610004,0.7784209415275699
fermentation,0.07699915102955673,0.10219972239816386,0.4084768286461754,-0.03740869654504733,0.7477645070243906,1.1018082337313297,0.2,0.1791988734277206,0.6777777777777778
fish_parasites,0.00018670649738610905,0.0008067031819527386,2.111259873600222,0.5263025242437643,19.893783963860514,1.880718385676223,0.10375367752098565,0.0009934096793388475,0.6777777777777778
fumarate_respiration,0.011258647410696505,0.019353804974546338,0.7815836601329029,-0.5100099998212853,1.5507063878053002,0.7889848954950466,0.8857142857142857,0.030612452385242843,1.0
human_pathogens_diarrhea,0.005091423431176507,0.004013416294880322,-0.3432381684492675,-1.5466175951211796,0.5856635617311274,-0.47677186075160827,0.6857142857142857,0.00910483972605683,0.9093167701863355
human_pathogens_pneumonia,0.02453048431849838,0.040399335115408434,0.719755808391675,0.022816935104980153,1.3377514153883143,1.1751730698927867,0.34285714285714286,0.06492981943390681,0.6971428571428572
hydrogen_oxidizing_bacteria_knallgas_bacteria,0.015193490288521839,0.0235150525798569,0.6301311968652803,-0.8861502271011208,1.4387332987649086,0.6453564120273332,1.0,0.03870854286837874,1.0
hydrogen_sulfide_production,0.1943599140820133,0.23361586701707732,0.26540756326377035,-0.15802909856883945,0.729384033743666,0.7438294813728292,0.34285714285714286,0.4279757810990906,0.6971428571428572
invertebrate_parasites,0.015076132195044034,0.022020606971844842,0.5465878550054227,-0.8572381944492669,1.2483426270954103,0.614026915405588,1.0,0.037096739166888874,1.0
iron_reduction,0.02506203569435337,0.028444824426172598,0.18266256519310042,-0.5463343216119968,0.8364792797431849,0.3109152400952767,0.8857142857142857,0.05350686012052597,1.0
ligninolysis,0.05248623668485129,0.08955131804043873,0.7707754963713451,0.09741327779167284,1.2755122205412661,1.3224302992071708,0.11428571428571428,0.14203755472529,0.6777777777777778
manganese_oxidation,0.026637795234385482,0.0567879462704233,1.0921100311476295,0.09156888305557256,1.7799896624907758,1.236030443069983,0.2,0.08342574150480878,0.6777777777777778
